,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,6,3.05,1.82,377,47,1.66,29,1.87,9.92,69,38,5.95,69,226,2,2.89,7
1,Aston Villa,1,1.42,0.82,398,23,0.79,27,2.11,10.47,31,38,3.34,73,127,7,1.39,1
2,Burnley,1,1.29,0.71,406,22,0.68,24,1.76,10.68,27,38,3.26,65,124,2,1.26,2
3,Chelsea,4,3.45,1.89,382,59,1.79,25,2.05,10.05,72,38,5.50,74,209,4,3.34,5
4,Crystal Palace,5,1.92,1.21,527,27,1.08,30,1.87,13.87,46,38,3.66,67,139,4,1.79,7
5,Everton,4,2.05,1.24,387,31,1.13,28,1.84,10.18,47,38,4.39,68,167,2,1.95,7
6,Hull City,1,1.42,0.84,451,22,0.82,29,2.11,11.87,32,38,3.45,74,131,6,1.39,1
7,Leicester City,3,1.95,1.18,485,29,1.11,28,1.42,12.76,45,38,3.61,50,137,4,1.87,3
8,Liverpool,5,2.05,1.26,386,30,1.13,25,1.87,10.16,48,38,5.08,68,193,3,1.92,6
9,Manchester City,7,3.76,2.16,445,61,1.97,24,2.13,11.71,82,38,6.00,79,228,2,3.58,8
10,Manchester United,3,2.66,1.58,452,41,1.50,33,1.87,11.89,60,38,4.66,66,177,5,2.58,5
11,Newcastle United,1,1.84,1.05,433,30,1.03,27,2.08,11.39,40,38,3.68,72,140,7,1.82,1
12,Queens Park Rangers,3,1.79,1.03,450,29,0.95,32,2.11,11.84,39,38,3.92,77,149,3,1.71,5
13,Southampton,2,2.13,1.29,468,32,1.24,29,1.61,12.32,49,38,4.39,58,167,3,2.08,3
14,Stoke City,3,2.03,1.24,477,30,1.16,25,2.21,12.55,47,38,3.58,83,136,1,1.95,3
15,Sunderland,4,1.32,0.79,440,20,0.68,25,2.55,11.58,30,38,3.39,95,129,2,1.21,4
16,Swansea City,2,2.03,1.13,397,34,1.08,27,1.47,10.45,43,38,3.84,51,146,5,1.97,2
17,Tottenham Hotspur,3,2.53,1.47,442,40,1.39,27,2.21,11.63,56,38,4.50,80,171,4,2.45,5
18,West Bromwich Albion,4,1.74,0.97,420,29,0.87,26,1.76,11.05,37,38,3.47,64,132,3,1.63,5
19,West Ham United,1,2.03,1.13,416,34,1.11,26,1.66,10.95,43,38,4.03,62,153,1,2.00,2
